commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P11_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
93074,Vaujours,BAILLY,Dominique,M,LDVD,VAUJOURS CAP 2008,935,,6643.0,51.45,48.55,20.24,21.83,22.18,19.78,9.89,6.07,24.61,19.39,10.36,10.68
93074,Vaujours,CHASLE,J.Yves,M,LDVG,VAUJOURS SOLIDAIRE 2008,284,,6643.0,51.45,48.55,20.24,21.83,22.18,19.78,9.89,6.07,24.61,19.39,10.36,10.68
93074,Vaujours,DUHAU,Michel,M,LMAJ,VAUJOURS EN MARCHE,508,,6643.0,51.45,48.55,20.24,21.83,22.18,19.78,9.89,6.07,24.61,19.39,10.36,10.68
93074,Vaujours,GUILLARD,Gilles,M,LSOC,Préservons notre Ville !,672,,6643.0,51.45,48.55,20.24,21.83,22.18,19.78,9.89,6.07,24.61,19.39,10.36,10.68
93078,Villepinte,ROLAND,Nelly,F,LUG,LISTE DE RASSEMBLEMENT DES FORCES DE GAUCHE,5135,,35850.0,50.0,50.0,22.95,23.71,20.65,18.94,10.05,3.7,19.82,18.44,7.13,16.82
93078,Villepinte,VALLETON,Martine,F,LMAJ,Villepinte à coeur,5072,,35850.0,50.0,50.0,22.95,23.71,20.65,18.94,10.05,3.7,19.82,18.44,7.13,16.82
93079,Villetaneuse,AHMED,karim,M,LCMD,VILLETANEUSE AUTREMENT DES 2008,601,,12642.0,51.75,48.25,25.61,24.17,20.07,18.83,8.4,2.92,19.18,16.53,7.35,23.72
93079,Villetaneuse,DARRU,Eric,M,LMAJ,villetaneuse notre ville,569,,12642.0,51.75,48.25,25.61,24.17,20.07,18.83,8.4,2.92,19.18,16.53,7.35,23.72
93079,Villetaneuse,JUSTE,Carinne,F,LUG,ENSEMBLE VILLETANEUSE SOLIDAIRE ET DYNAMIQUE,1387,,12642.0,51.75,48.25,25.61,24.17,20.07,18.83,8.4,2.92,19.18,16.53,7.35,23.72
94004,Boissy-Saint-Léger,URBAIN,Daniel,M,LMC,"ENSEMBLE, UN NOUVEL ELAN POUR BOISSY",2036,,16354.0,51.22,48.78,21.74,21.47,21.31,20.0,10.73,4.75,21.96,18.34,13.67,13.38
94004,Boissy-Saint-Léger,CHARBONNIER,Régis,M,LDVG,BOISSY POUR VOUS BOISSY AVEC VOUS,2559,,16354.0,51.22,48.78,21.74,21.47,21.31,20.0,10.73,4.75,21.96,18.34,13.67,13.38
94019,Chennevières-sur-Marne,ABSALON,Christophe,M,LMAJ,"ENSEMBLE, DEVIENT POSSIBLE",1438,,17963.0,52.11,47.89,20.5,18.7,21.65,19.41,13.26,6.48,19.89,17.86,14.04,12.15
94019,Chennevières-sur-Marne,LAVIGNE,Lucien,M,LDVD,Gérer avec compétence et honnêteté pour le futur Chennevières,1898,,17963.0,52.11,47.89,20.5,18.7,21.65,19.41,13.26,6.48,19.89,17.86,14.04,12.15
94019,Chennevières-sur-Marne,MINEO,Alexandre,M,LGC,TOUS ENSEMBLE POUR CHENNEVIERES,2132,,17963.0,52.11,47.89,20.5,18.7,21.65,19.41,13.26,6.48,19.89,17.86,14.04,12.15
94021,Chevilly-Larue,CAPIRCHIO,Jean Franco,M,LMAJ,VIVRE ENSEMBLE A CHEVILLY LARUE,787,,18532.0,52.18,47.82,20.2,20.73,21.72,19.76,10.43,7.16,18.8,21.14,13.27,11.5
94021,Chevilly-Larue,HERVY,Christian,M,LUG,ENSEMBLE POUR CHEVILLY LARUE,2432,,18532.0,52.18,47.82,20.2,20.73,21.72,19.76,10.43,7.16,18.8,21.14,13.27,11.5
94021,Chevilly-Larue,RIOUAL,Pascal,M,LDVG,"CHEVILLY-LARUE, LA VILLE pour tous",1937,,18532.0,52.18,47.82,20.2,20.73,21.72,19.76,10.43,7.16,18.8,21.14,13.27,11.5
94021,Chevilly-Larue,TISSEAU,Armand,M,LCMD,CHEVILLY-LARUE AUTREMENT,563,,18532.0,52.18,47.82,20.2,20.73,21.72,19.76,10.43,7.16,18.8,21.14,13.27,11.5
94022,Choisy-le-Roi,WODIÉ,Franck,M,LCMD,CHOISY EN VIE,1436,,41355.0,51.82,48.18,21.03,21.05,23.21,18.72,10.0,5.99,18.04,17.96,14.68,14.55
94022,Choisy-le-Roi,DAVISSE,Daniel,M,LUG,LISTE D'UNION DES FORCES DE GAUCHE ET DE PROGRES,5201,,41355.0,51.82,48.18,21.03,21.05,23.21,18.72,10.0,5.99,18.04,17.96,14.68,14.55
